# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0               	N/A	N/A	N/A	N/A	N/A
0.0028          	5.61632432e-03	4.54831366e-03	8.29469069e-03	6.87813484e-03	1.14117438e-03	2.18576969e-04
0.00282         	5.62793086e-03	4.56453413e-03	8.27043015e-03	6.90853185e-03	1.13962143e-03	2.18964565e-04
0.00284         	5.63601202e-03	4.57197409e-03	8.24053220e-03	6.92596200e-03	1.13724126e-03	2.19479965e-04
0.00286         	5.63702527e-03	4.57553152e-03	8.21573430e-03	6.92876053e-03	1.13419019e-03	2.20002358e-04
0.00288         	5.63858664e-03	4.57557386e-03	8.19725375e-03	6.91528219e-03	1.13190020e-03	2.20554123e-04
0.0029          	5.64882897e-03	4.57081963e-03	8.15696405e-03	6.91024122e-03	1.12956263e-03	2.21173843e-04
0.00292         	5.65946016e-03	4.57757226e-03	8.11028941e-03	6.91644279e-03	1.12785050e-03	2.21889615e-04
0.00294         	5.66845119e-03	4.58921313e-03	8.07317231e-03	6.92404071e-03	1.12713126e-03	2.22721434e-04
0.00296         	5.67366781e-03	4.59779573e-03	8.03631415e-03	6.93402328e-03	1.12778837e-03	2.23628584e-04
0.00298         	5.67969758e-03	4.60521685e-03	7.99839916e-03	6.93477037e-03	1.12896863e-03	2.24546457e-04
0.003           	5.68308913e-03	4.61743990e-03	7.96472618e-03	6.94610508e-03	1.12987046e-03	2.25482364e-04
0.00302         	5.68813932e-03	4.63144694e-03	7.93062680e-03	6.96582329e-03	1.13093158e-03	2.26446077e-04
0.00304         	5.69970327e-03	4.64254021e-03	7.88805015e-03	6.98915981e-03	1.13151337e-03	2.27333673e-04
0.00306         	5.71049421e-03	4.64960120e-03	7.85277517e-03	7.00724741e-03	1.13094117e-03	2.28188662e-04
0.00308         	5.71947437e-03	4.64912390e-03	7.83602667e-03	7.01237258e-03	1.13083684e-03	2.29094904e-04
0.0031          	5.72617014e-03	4.64556925e-03	7.82159077e-03	7.01082269e-03	1.13222082e-03	2.30037052e-04
0.00312         	5.72691345e-03	4.63525310e-03	7.80071197e-03	7.00165353e-03	1.13465023e-03	2.31060333e-04
0.00314         	5.72823938e-03	4.63860023e-03	7.76995665e-03	6.99605054e-03	1.13747786e-03	2.32184979e-04
0.00316         	5.73081568e-03	4.64941303e-03	7.73290607e-03	6.99093842e-03	1.14148003e-03	2.33387603e-04
0.00318         	5.73471401e-03	4.65734440e-03	7.68497977e-03	6.99169126e-03	1.14559798e-03	2.34617683e-04
0.0032          	5.74029945e-03	4.66395684e-03	7.64313488e-03	6.98778412e-03	1.14997084e-03	2.35946037e-04
0.00322         	5.74614917e-03	4.67291234e-03	7.60640444e-03	6.99989525e-03	1.15500130e-03	2.37252698e-04
0.00324         	5.75646803e-03	4.68256821e-03	7.56883916e-03	7.02192568e-03	1.16225156e-03	2.38643988e-04
0.00326         	5.76170050e-03	4.69040654e-03	7.54272702e-03	7.04469991e-03	1.16973194e-03	2.40128003e-04
0.00328         	5.76637916e-03	4.69521089e-03	7.52293565e-03	7.06071464e-03	1.17772655e-03	2.41692591e-04
0.0033          	5.77021870e-03	4.69673185e-03	7.49907984e-03	7.06762813e-03	1.18650544e-03	2.43309207e-04
0.00332         	5.77571985e-03	4.69597405e-03	7.47567853e-03	7.06270226e-03	1.19633592e-03	2.44956769e-04
0.00334         	5.78136907e-03	4.69094402e-03	7.44825216e-03	7.05724710e-03	1.20635676e-03	2.46706354e-04
0.00336         	5.78398360e-03	4.68397170e-03	7.41316780e-03	7.04227423e-03	1.21655975e-03	2.48445414e-04
0.00338         	5.78455908e-03	4.68767943e-03	7.38189563e-03	7.03798384e-03	1.22846782e-03	2.50306576e-04
0.0034          	5.78664080e-03	4.69409943e-03	7.34967610e-03	7.03120660e-03	1.24300761e-03	2.52319838e-04
0.00342         	5.78706109e-03	4.69925930e-03	7.32140126e-03	7.02973931e-03	1.25868739e-03	2.54503321e-04
0.00344         	5.78460780e-03	4.70452247e-03	7.30345910e-03	7.03040966e-03	1.27713659e-03	2.56952391e-04
0.00346         	5.78569995e-03	4.71013537e-03	7.27095797e-03	7.03609031e-03	1.29709941e-03	2.59509552e-04
0.00348         	5.79282975e-03	4.71598366e-03	7.23733165e-03	7.04764543e-03	1.31823403e-03	2.62215608e-04
0.0035          	5.79817324e-03	4.72171043e-03	7.20481185e-03	7.06000544e-03	1.33269577e-03	2.64427738e-04
0.00352         	5.80405785e-03	4.72471711e-03	7.18041635e-03	7.06783866e-03	1.34778870e-03	2.66049723e-04
0.00354         	5.80856486e-03	4.72508128e-03	7.15964542e-03	7.08080455e-03	1.36203957e-03	2.67758094e-04
0.00356         	5.81271923e-03	4.72745017e-03	7.14448904e-03	7.08344250e-03	1.37354005e-03	2.69395578e-04
0.00358         	5.81671650e-03	4.72402827e-03	7.12226632e-03	7.07742289e-03	1.38586355e-03	2.70734534e-04
0.0036          	5.81802267e-03	4.71460168e-03	7.09685018e-03	7.06500785e-03	1.39831759e-03	2.72081901e-04
0.00362         	5.81961334e-03	4.70768754e-03	7.06745644e-03	7.04455764e-03	1.41432197e-03	2.73144010e-04
0.00364         	5.81763859e-03	4.71062500e-03	7.03302870e-03	7.02913391e-03	1.43038570e-03	2.74277815e-04
0.00366         	5.81192117e-03	4.71482910e-03	7.00017077e-03	7.01698945e-03	1.44650758e-03	2.75761340e-04
0.00368         	5.80886123e-03	4.71819358e-03	6.97008182e-03	7.00442292e-03	1.45296441e-03	2.76892391e-04
0.0037          	5.81067617e-03	4.71843362e-03	6.94102218e-03	7.00977473e-03	1.45883480e-03	2.78084519e-04
0.00372         	5.81368519e-03	4.71980570e-03	6.91296334e-03	7.01553577e-03	1.46665091e-03	2.79170722e-04
0.00374         	5.81544145e-03	4.72429390e-03	6.89262827e-03	7.02415782e-03	1.47140441e-03	2.79114283e-04
0.00376         	5.81633261e-03	4.72938666e-03	6.86809690e-03	7.02875252e-03	1.47821464e-03	2.79032979e-04
0.00378         	5.81899007e-03	4.73129765e-03	6.84388963e-03	7.02615943e-03	1.48688565e-03	2.79059851e-04
0.0038          	5.82192879e-03	4.73517201e-03	6.82919376e-03	7.02894554e-03	1.49064173e-03	2.78498381e-04
0.00382         	5.82355747e-03	4.73745293e-03	6.80820867e-03	7.02975053e-03	1.48086484e-03	2.76698335e-04
0.00384         	5.82172635e-03	4.73154235e-03	6.78850322e-03	7.02241488e-03	1.47077574e-03	2.74793271e-04
0.00386         	5.81872923e-03	4.72151207e-03	6.76825810e-03	7.01178205e-03	1.46157254e-03	2.73035171e-04
0.00388         	5.81972517e-03	4.70637653e-03	6.74059791e-03	6.99395873e-03	1.45443730e-03	2.71466154e-04
0.0039          	5.81567724e-03	4.69800962e-03	6.71319195e-03	6.97382570e-03	1.44870276e-03	2.70216976e-04
0.00392         	5.80953724e-03	4.69551664e-03	6.68708643e-03	6.95298424e-03	1.44327068e-03	2.69306471e-04
0.00394         	5.80214656e-03	4.69964469e-03	6.66016499e-03	6.93318838e-03	1.43899026e-03	2.68471203e-04
0.00396         	5.79928675e-03	4.70152648e-03	6.62836634e-03	6.91839997e-03	1.43651137e-03	2.67664356e-04
0.00398         	5.79945777e-03	4.70226094e-03	6.59585953e-03	6.91494247e-03	1.41290163e-03	2.66283883e-04
0.004           	5.79956906e-03	4.70211508e-03	6.57014928e-03	6.91350068e-03	1.38696138e-03	2.64041269e-04
0.00402         	5.79690218e-03	4.69959930e-03	6.54298295e-03	6.91254175e-03	1.36013304e-03	2.61850523e-04
0.00404         	5.79120027e-03	4.69675172e-03	6.51837380e-03	6.91169935e-03	1.33220977e-03	2.59761145e-04
0.00406         	5.78706082e-03	4.69409508e-03	6.50481572e-03	6.90497877e-03	1.30370688e-03	2.57596387e-04
0.00408         	5.78567312e-03	4.69338150e-03	6.48076700e-03	6.89482468e-03	1.27569068e-03	2.55561053e-04
0.0041          	5.78277293e-03	4.68969097e-03	6.45941503e-03	6.88568430e-03	1.24853135e-03	2.53585280e-04
0.00412         	5.77718879e-03	4.68380742e-03	6.44250493e-03	6.87302404e-03	1.22082102e-03	2.51791127e-04
0.00414         	5.77347686e-03	4.67137569e-03	6.42633079e-03	6.85850964e-03	1.19269766e-03	2.50114986e-04
0.00416         	5.76944475e-03	4.65698990e-03	6.40253691e-03	6.84327397e-03	1.16435613e-03	2.48417808e-04
0.00418         	5.76151416e-03	4.64081515e-03	6.37824758e-03	6.81276632e-03	1.13657365e-03	2.46672297e-04
0.0042          	5.75372638e-03	4.62920669e-03	6.35210051e-03	6.78334190e-03	1.10974608e-03	2.44958552e-04
0.00422         	5.74355477e-03	4.62286014e-03	6.32673731e-03	6.75943812e-03	1.08356201e-03	2.43393311e-04
0.00424         	5.73236357e-03	4.61840701e-03	6.30358406e-03	6.73406699e-03	1.05803390e-03	2.41983808e-04
0.00426         	5.72461887e-03	4.61500328e-03	6.28149299e-03	6.71493166e-03	1.03282387e-03	2.40678687e-04
0.00428         	5.71892443e-03	4.60946702e-03	6.25545007e-03	6.69883741e-03	1.00502651e-03	2.39656969e-04
0.0043          	5.71119722e-03	4.60349607e-03	6.22834540e-03	6.68440427e-03	9.79654655e-04	2.39316446e-04
0.00432         	5.70428376e-03	4.59618952e-03	6.20464420e-03	6.66852753e-03	9.56568414e-04	2.39529218e-04
0.00434         	5.69692859e-03	4.58858945e-03	6.18314792e-03	6.65881098e-03	9.33267667e-04	2.38849152e-04
0.00436         	5.68912115e-03	4.58198486e-03	6.15929339e-03	6.64833038e-03	9.10348538e-04	2.38153659e-04
0.00438         	5.67879585e-03	4.57555517e-03	6.13674519e-03	6.63032425e-03	8.90043942e-04	2.37593705e-04
0.0044          	5.66970375e-03	4.56498972e-03	6.11135882e-03	6.60878073e-03	8.71321349e-04	2.37200892e-04
0.00442         	5.66356853e-03	4.55205400e-03	6.09057199e-03	6.59370905e-03	8.53968131e-04	2.36996692e-04
0.00444         	5.65776266e-03	4.53597486e-03	6.07346301e-03	6.57475636e-03	8.34074425e-04	2.36621613e-04
0.00446         	5.65046333e-03	4.52026476e-03	6.05442167e-03	6.55577106e-03	8.15350641e-04	2.35916263e-04
0.00448         	5.64074557e-03	4.50059037e-03	6.03002451e-03	6.53275178e-03	7.97776839e-04	2.35378999e-04
0.0045          	5.62818786e-03	4.48324456e-03	6.00069027e-03	6.49164926e-03	7.81159563e-04	2.35046049e-04
